lat_r,lon_r,cluster
27.4,95.4,759
26.6,93.6,1448
26.6,94.3,593
26.7,93.5,1060
26.7,94.3,1957
26.7,94.4,1957
26.8,93.5,123
26.8,94.2,1829
26.8,94.3,1957
26.8,94.4,1957
26.9,93.5,123
26.9,94.2,90
27.0,94.3,1591
27.4,94.7,788
25.9,93.8,1812
24.4,84.4,739
24.4,84.5,739
24.4,84.9,251
24.4,86.4,1018
24.5,84.1,1173
24.5,84.3,739
24.5,84.4,739
24.5,84.5,739
24.5,84.6,1546
24.5,84.7,1546
24.5,84.9,251
24.5,85.0,251
24.5,85.1,1833
24.5,85.2,1833
24.5,86.3,1018
24.5,86.4,1018
24.6,83.6,1052
24.6,83.7,1052
24.6,83.8,229
24.6,83.9,75
24.6,84.1,1173
24.6,84.2,1173
24.6,84.3,1998
24.6,84.4,739
24.6,84.5,739
24.6,84.6,1546
24.6,84.7,1546
24.6,84.8,1546
24.6,84.9,506
24.6,85.0,506
24.6,85.1,1833
24.6,85.2,960
24.6,85.3,721
24.6,85.4,721
24.6,85.5,10
24.6,85.6,1749
24.6,86.3,1018
24.6,86.4,1018
24.6,86.5,1697
24.6,86.7,658
24.6,86.8,658
24.7,83.5,302
24.7,83.6,302
24.7,83.7,229
24.7,83.8,229
24.7,83.9,75
24.7,84.0,75
24.7,84.1,1173
24.7,84.2,1173
24.7,84.3,1998
24.7,84.4,1998
24.7,84.5,796
24.7,84.6,1546
24.7,84.7,1546
24.7,84.8,595
24.7,84.9,595
24.7,85.0,595
24.7,85.1,1395
24.7,85.2,1395
24.7,85.3,721
24.7,85.5,10
24.7,85.6,1749
24.7,86.2,375
24.7,86.3,375
24.7,86.4,1697
24.7,86.5,1697
24.7,86.6,1697
24.7,86.7,658
24.7,86.8,658
24.7,86.9,173
24.7,87.0,173
24.8,83.4,302
24.8,83.5,302
24.8,83.6,302
24.8,83.7,930
24.8,83.8,930
24.8,83.9,75
24.8,84.0,75
24.8,84.1,1173
24.8,84.2,1998
24.8,84.3,1998
24.8,84.4,796
24.8,84.5,796
24.8,84.6,796
24.8,84.9,595
24.8,85.0,752
24.8,85.1,752
24.8,85.2,1395
24.8,85.3,1605
24.8,85.6,256
24.8,85.7,256
24.8,85.9,785
24.8,86.0,785
24.8,86.1,1931
24.8,86.2,375
24.8,86.3,375
24.8,86.4,375
24.8,86.5,1697
24.8,86.6,944
24.8,86.7,944
24.8,86.8,173
24.8,86.9,173
24.8,87.0,173
24.9,83.4,1771
24.9,83.5,1771
24.9,83.6,1771
24.9,83.7,82
24.9,83.8,82
24.9,83.9,1521
24.9,84.0,1521
24.9,84.1,1521
24.9,84.2,231
24.9,84.3,284
24.9,84.4,284
24.9,84.5,796
24.9,84.6,163
24.9,84.8,163
24.9,84.9,400
24.9,85.0,752
24.9,85.1,752
24.9,85.2,1605
24.9,85.3,1605
24.9,85.4,1653
24.9,85.8,1741
24.9,85.9,785
24.9,86.0,785
24.9,86.1,1931
24.9,86.2,1931
24.9,86.3,375
24.9,86.4,1297
24.9,86.5,1297
24.9,86.6,944
24.9,86.7,944
24.9,86.8,1451
24.9,86.9,1451
24.9,87.0,1067
24.9,87.1,205
25.0,83.4,1771
25.0,83.5,1771
25.0,83.6,1771
25.0,83.7,82
