cluster,month,anchor
55,10,0.03598602570534966
55,11,0.04227492636724361
55,12,0.04139572057174276
56,1,0.03889218439646004
56,2,0.042290409588557024
56,3,0.04900739363734395
56,4,0.05116262981627666
56,5,0.043543619621160996
56,6,0.04321000200924956
56,7,0.03355294985328845
56,8,0.035735036244532475
56,9,0.03763747774994896
56,10,0.03513984666250246
56,11,0.03304304281135246
56,12,0.035770031703099996
57,1,0.04242105955412528
57,2,0.04121000227355892
57,3,0.041509806019564936
57,4,0.04000228378476615
57,5,0.042116581218284814
57,6,0.03738845648140093
57,7,0.03557900812479873
57,8,0.0344584148666043
57,9,0.037274521626262984
57,10,0.04186048586190667
57,11,0.04342742492933779
57,12,0.04094725890165177
58,1,0.04439822338962258
58,2,0.0463231172100687
58,3,0.05099945693945176
58,4,0.0508301758672715
58,5,0.04579345967582085
58,6,0.04297985324952373
58,7,0.03351183252106785
58,8,0.03613778840569427
58,9,0.038412842770015734
58,10,0.037113240619548626
58,11,0.036061367415466256
58,12,0.040526681876326666
59,1,0.036277515103562495
59,2,0.035424014158269464
59,3,0.039959463761051646
59,4,0.035457934756254056
59,5,0.03190950372069871
59,6,0.031712932894342585
59,7,0.028956173987063988
59,8,0.028730847976789285
59,9,0.030974761876029513
59,10,0.03416744963490417
59,11,0.038026627146493464
59,12,0.03834326988530008
60,1,0.034446663856484754
60,2,0.03506775796810691
60,3,0.03742180961437213
60,4,0.03337357162981022
60,5,0.03231067694208003
60,6,0.03198972984105803
60,7,0.029135409038702608
60,8,0.02995895840841485
60,9,0.031047273579690872
60,10,0.03244561546291757
60,11,0.035667405729708626
60,12,0.03687267078527034
61,1,0.04015352123937924
61,2,0.03945029529249833
61,3,0.047631713732571745
61,4,0.04630970461115706
61,5,0.04084589063429956
61,6,0.03853366434567983
61,7,0.029298708685598855
61,8,0.030694487264276125
61,9,0.033636041818053034
61,10,0.035388951756523825
61,11,0.04087198185515477
61,12,0.04252566882039989
62,1,0.035242189564666584
62,2,0.03605048218843639
62,3,0.038227157565661675
62,4,0.033914106849727114
62,5,0.03207111933959955
62,6,0.03260026247082359
62,7,0.029361794078198306
62,8,0.029330350083615165
62,9,0.03233558565789884
62,10,0.03242556806777595
62,11,0.03568377864169977
62,12,0.03663145664038602
63,1,0.036419063908773516
63,2,0.03619692881699166
63,3,0.038241431140401606
63,4,0.033564539281371854
63,5,0.03277138453737469
63,6,0.03212857877104583
63,7,0.029846585985416726
63,8,0.030214574599849577
63,9,0.03231125207808969
63,10,0.03287881882189684
63,11,0.03694430695887124
63,12,0.03707635848150863
64,1,0.036757575185307374
64,2,0.03574921208377134
64,3,0.04209017501748638
64,4,0.03715640717284729
64,5,0.03182676816496454
64,6,0.03264550979689744
64,7,0.02719745731849243
64,8,0.027805055120770222
64,9,0.030794331624997312
64,10,0.032998585625929576
64,11,0.03864464835229861
64,12,0.03867637839171752
65,1,0.04102786253394857
65,2,0.039800608014968174
65,3,0.04450891359076827
65,4,0.044462751669457755
65,5,0.039514233949579196
65,6,0.034192691980007774
65,7,0.028840667035992733
65,8,0.02976336338126044
65,9,0.03343603545258686
65,10,0.03648233145783832
65,11,0.042396111373701695
65,12,0.04150836321814256
66,1,0.03779134643063035
66,2,0.038784137228585855
66,3,0.04532031770213523
66,4,0.0445157323995482
66,5,0.03608343518860283
66,6,0.03389255114991343
66,7,0.026654572130707245
66,8,0.02770405227385647
66,9,0.030387710303282627
66,10,0.03393842511693267
66,11,0.03667358962026865
66,12,0.037532409858378774
67,1,0.038271205441538475
67,2,0.03999278446287962
67,3,0.045521251858815365
67,4,0.043509055859105236
67,5,0.03869286839223715
67,6,0.032453841185723815
67,7,0.026562136770609486
67,8,0.02768732246875755
67,9,0.030824474899325043
67,10,0.03564368220657118
67,11,0.03823268652063228
67,12,0.03957187285523768
68,1,0.043284366672282915
68,2,0.041529582143306404
68,3,0.04623473887105006
68,4,0.04829603252034535
68,5,0.04230303234823011
68,6,0.037662217966998195
68,7,0.030076336160270004
68,8,0.031085003051941874
68,9,0.03375404620824706
68,10,0.03791472686949648
68,11,0.043603783427933786
68,12,0.04519394197115797
69,1,0.04257119767477118
69,2,0.04582143788674548
69,3,0.049484168742501694
69,4,0.05113480440830617
69,5,0.046162442914612696
69,6,0.04472557527119595
69,7,0.03321265618820603
69,8,0.03562748022756557
69,9,0.03806801423978337
69,10,0.036662748915593055
69,11,0.03480412230071869
69,12,0.03858570575211557
70,1,0.03698092394089215
70,2,0.03692453154128177
70,3,0.04201527688273576
70,4,0.03820925108268153
70,5,0.033250989416147736
70,6,0.03445176774094254
70,7,0.02900926703535272
70,8,0.027631046257003244
70,9,0.03237617266519621
70,10,0.033021090239573586
70,11,0.03773791929676495
70,12,0.03776506073574546
71,1,0.02487189840208139
71,2,0.02613197427389305
71,3,0.03134655898615048
71,4,0.03213357521320426
71,5,0.031830377876407176
71,6,0.030721774929677443
71,7,0.024752564110255896
71,8,0.02536271220825569
71,9,0.027244255073388415
71,10,0.02557670379799427
71,11,0.024400258688411478
71,12,0.025460174781108187
72,1,0.04333614510909613
72,2,0.04276675305360787
72,3,0.04673846285718232
72,4,0.04731250687790889
72,5,0.040962785224900475
72,6,0.0385305151119098
72,7,0.029300736344913748
72,8,0.030562156718550604
72,9,0.03248101488586714
72,10,0.03710368439488149
72,11,0.041078522267607484
72,12,0.043347970662914924
73,1,0.0431826332151672
73,2,0.04151411479692879
73,3,0.045785378531583036
73,4,0.045773904815537426
73,5,0.04180544023868032
73,6,0.036416769422548734
73,7,0.028698470759725914
73,8,0.029789571159805187
73,9,0.03197926752210943
73,10,0.037502085289830026
73,11,0.04147460027825537
73,12,0.04358604101985444
74,1,0.034509455118781854
74,2,0.03514326718285976
74,3,0.03808501960460562
74,4,0.033664762799458625
74,5,0.031192815926623957
74,6,0.031073201666936792
74,7,0.02875058611849798
74,8,0.029427562543476393
74,9,0.030360889337894714
74,10,0.03246084697809196
74,11,0.03524319201792176
74,12,0.03587168467508198
75,1,0.04378116072084731
75,2,0.040261450885806384
75,3,0.04325843533616223
75,4,0.04232942388714463
75,5,0.04469477164125131
75,6,0.04194449729805868
75,7,0.03320174243446384
75,8,0.034668533858917515
75,9,0.03793983137855524
75,10,0.038095945658183535
75,11,0.04524599757018775
75,12,0.044406768570472425
76,1,0.038033330454118004
76,2,0.03899879473515365
76,3,0.04307439060510327
76,4,0.04079876493113312
76,5,0.037505634253068264
76,6,0.029372806667807765
76,7,0.025060598728167748
76,8,0.026191294527934065
76,9,0.028110930161730826
76,10,0.03454383048861119
76,11,0.03728400284737301
76,12,0.038108290857255894
77,1,0.03507557425857412
77,2,0.03497888351212145
77,3,0.039741877324798974
77,4,0.03523105239511196
77,5,0.031845086374948824
77,6,0.03171492259168147
77,7,0.027653426975544893
77,8,0.02731787975992265
77,9,0.03123665991753279
77,10,0.03292044367717626
77,11,0.03629118106812333
77,12,0.03639568720729754
78,1,0.047321034684372314
78,2,0.045326032544791194
78,3,0.04504503183247074
78,4,0.04610120146165114
78,5,0.04836222883049414
78,6,0.0459144678310287
78,7,0.035990969204847685
78,8,0.03708606181911645
78,9,0.04030364692557543
78,10,0.040987501518449015
78,11,0.050371167034565116
78,12,0.0486861822972224
79,1,0.03855411840365316
79,2,0.038918622474609345
79,3,0.04730739326152738
79,4,0.04664521926733256
79,5,0.039997211318365686
79,6,0.03763656417805183
79,7,0.028239831242820486
79,8,0.0291187703754261
79,9,0.032569933389760705
79,10,0.03399323522700443
79,11,0.03874311791112705
79,12,0.03929300972722767
80,1,0.042547709800569655
80,2,0.04431567823944952
80,3,0.05226438290218627
80,4,0.05087891462463503
80,5,0.046789953683083134
80,6,0.04516104139561387
80,7,0.0335156988043685
80,8,0.03572116155940766
80,9,0.03826779003331043
80,10,0.03624314235989182
80,11,0.035728323128102965
80,12,0.0392420368264909
81,1,0.03986937573609402
81,2,0.039660638725307895
81,3,0.04497657704311336
81,4,0.044614369191778316
81,5,0.039838041105607014
81,6,0.03319165109163987
81,7,0.02784145290063043
81,8,0.028924147952002884
81,9,0.03129254660714859
81,10,0.0362833432486004
81,11,0.040560175688986955
81,12,0.04134570307221211
82,1,0.044959128371772086
82,2,0.04092138384775016
82,3,0.0432499439388353
82,4,0.04332057006546216
82,5,0.04637638172028895
82,6,0.042707430135746564
82,7,0.034105269339388275
82,8,0.0361939128806842
82,9,0.039469082679868824
82,10,0.04010363274427357
82,11,0.0479661152207727
82,12,0.04666513221887127
83,1,0.03735148046711935
83,2,0.03617916811460179
83,3,0.04102437735149276
83,4,0.03633839613581538
83,5,0.033492140620629454
83,6,0.03360529797116202
83,7,0.028624172627237512
83,8,0.02928889409705448
83,9,0.032467929591360745
83,10,0.03370722347758971
83,11,0.038619670028994794
83,12,0.038549304037946326
84,1,0.04666409031346331
84,2,0.04307438662414233
84,3,0.04456400071567822
84,4,0.04378350591485175
84,5,0.04753183957591271
84,6,0.044864591864017055
84,7,0.03467903450938423
84,8,0.0362430884414153
84,9,0.03944778161461743
84,10,0.04091593900686523
84,11,0.05033228468542023
84,12,0.047636075850347
85,1,0.038075853300421736
85,2,0.038262311998414136
85,3,0.04265647342765869
85,4,0.03884524741463685
85,5,0.034003308852423426
85,6,0.0350496380323812
85,7,0.029245632328126214
85,8,0.029192084269538354
85,9,0.03326220695359087
85,10,0.03450931790778385
85,11,0.038529511859406736
85,12,0.04009402596371904
86,1,0.039177458062228956
86,2,0.04028936193585516
86,3,0.04267131306922652
86,4,0.041696201186630234
86,5,0.034251110684093096
86,6,0.027181725243802506
86,7,0.024532704605655428
86,8,0.02522884018607604
86,9,0.02765854519103379
86,10,0.032634959944854595
86,11,0.03520422357673042
86,12,0.0380041240106247
87,1,0.04452220049146708
87,2,0.041167214817311205
87,3,0.047871445469081286
87,4,0.04668541190771289
87,5,0.04309453885380041
87,6,0.04047243439178512
87,7,0.030131060136772338
87,8,0.031260260141535184
87,9,0.03538498517058318
87,10,0.03678103541876902
87,11,0.04589379899316094
87,12,0.04857371175464946
88,1,0.038099711043487146
88,2,0.036737099666123346
88,3,0.0405318388817482
88,4,0.039963806495920254
88,5,0.03972919578351002
88,6,0.0382309597543844
88,7,0.03141301886650703
88,8,0.03212216892384126
88,9,0.035835371936353104
88,10,0.03565962912327395
88,11,0.04048891537867011
88,12,0.0385473748708466
89,1,0.03561693368800011
89,2,0.03620260363215616
89,3,0.04003870462508965
89,4,0.03697161906108098
89,5,0.03337389706969059
89,6,0.03402211629650616
